Player 1,Player 2,Player 1 Ranking,Player 2 Ranking,Player 1 Age,Player 2 Age,Player 1 Points,Player 2 Points,Round,Tournament,Surface,Match Length,Date,Probability Player 1 Wins
Soonwoo Kwon,Yasutaka Uchiyama,81,109,23,28,877,701,Round of 16,Singapore,Hard,BO3,22/02/2021,1
Alexei Popyrin,Adrian Andreev,114,423,21,19,643,94,Round of 16,Singapore,Hard,BO3,22/02/2021,1
Yoshihito Nishioka,Michael Mmoh,61,178,25,23,"1,062",393,Round of 32,Singapore,Hard,BO3,22/02/2021,1
Radu Albot,John-Patrick Smith,76,306,31,32,907,159,Round of 32,Singapore,Hard,BO3,22/02/2021,1
Adrian Andreev,Lloyd Harris,423,82,19,23,94,873,Round of 32,Singapore,Hard,BO3,22/02/2021,1
Thai-Son Kwiatkowski,Soonwoo Kwon,219,81,26,23,285,877,Round of 32,Singapore,Hard,BO3,22/02/2021,0
Shintaro Mochizuki,Altug Celikbilek,639,302,17,24,39,167,Round of 32,Singapore,Hard,BO3,22/02/2021,0
Maxime Cressy,Jason Jung,156,143,23,31,454,500,Round of 32,Singapore,Hard,BO3,22/02/2021,1
Taro Daniel,Ramkumar Ramanathan,120,200,28,26,602,352,Round of 32,Singapore,Hard,BO3,22/02/2021,1
Matthew Ebden,Yuki Bhambri,316,,33,,151,,Round of 32,Singapore,Hard,BO3,22/02/2021,1
Yannick Hanfmann,James Duckworth,105,100,29,29,738,756,Round of 32,Singapore,Hard,BO3,22/02/2021,1
Ernests Gulbis,Roberto Marcora,186,191,32,31,376,362,Round of 32,Singapore,Hard,BO3,22/02/2021,0
Christopher Eubanks,Alexei Popyrin,240,114,24,21,247,643,Round of 32,Singapore,Hard,BO3,22/02/2021,0
Yasutaka Uchiyama,Marc Polmans,109,129,28,23,701,546,Round of 32,Singapore,Hard,BO3,22/02/2021,1
Robert Galloway,Thai-Son Kwiatkowski,,219,,26,,285,2nd Round Qualifying,Singapore,Hard,BO3,22/02/2021,0
Altug Celikbilek,Matteo Viola,302,229,24,33,167,263,2nd Round Qualifying,Singapore,Hard,BO3,22/02/2021,1
Christopher Eubanks,Alessandro Bega,240,355,24,30,247,124,2nd Round Qualifying,Singapore,Hard,BO3,22/02/2021,1
John-Patrick Smith,Malek Jaziri,306,264,32,37,159,221,2nd Round Qualifying,Singapore,Hard,BO3,22/02/2021,1
Luke Bambridge,Thai-Son Kwiatkowski,,219,,26,,285,1st Round Qualifying,Singapore,Hard,BO3,22/02/2021,0
Matteo Viola,Alex Lawson,229,,33,,263,,1st Round Qualifying,Singapore,Hard,BO3,22/02/2021,1
Rohan Bopanna,Christopher Eubanks,,240,,24,,247,1st Round Qualifying,Singapore,Hard,BO3,22/02/2021,0
Malek Jaziri,Shaheed Alam,264,1816T,37,22,221,1,1st Round Qualifying,Singapore,Hard,BO3,22/02/2021,1
Evan King,Altug Celikbilek,437,302,28,24,89,167,1st Round Qualifying,Singapore,Hard,BO3,22/02/2021,0
Roy Hobbs,John-Patrick Smith,,306,,32,,159,1st Round Qualifying,Singapore,Hard,BO3,22/02/2021,0
Fabrizio Ornago,Alessandro Bega,407,355,28,30,102,124,1st Round Qualifying,Singapore,Hard,BO3,22/02/2021,0
Vladyslav Orlov,Robert Galloway,356,,25,,123,,1st Round Qualifying,Singapore,Hard,BO3,22/02/2021,0
Albert Ramos-Vinolas,Juan Manuel Cerundolo,47,335,33,19,"1,210",132,Finals,Cordoba,Clay,BO3,22/02/2021,0
Facundo Bagnis,Albert Ramos-Vinolas,130,47,30,33,546,"1,210",Semi-Finals,Cordoba,Clay,BO3,22/02/2021,0
Federico Coria,Juan Manuel Cerundolo,95,335,28,19,790,132,Semi-Finals,Cordoba,Clay,BO3,22/02/2021,0
Diego Schwartzman,Albert Ramos-Vinolas,9,47,28,33,"3,480","1,210",Quarter-Finals,Cordoba,Clay,BO3,22/02/2021,0
Benoit Paire,Federico Coria,29,95,31,28,"1,738",790,Quarter-Finals,Cordoba,Clay,BO3,22/02/2021,0
Juan Manuel Cerundolo,Thiago Monteiro,335,74,19,26,132,929,Quarter-Finals,Cordoba,Clay,BO3,22/02/2021,1
Facundo Bagnis,Jozef Kovalik,130,128,30,28,546,548,Quarter-Finals,Cordoba,Clay,BO3,22/02/2021,1
Marco Cecchinato,Diego Schwartzman,87,9,28,28,838,"3,480",Round of 16,Cordoba,Clay,BO3,22/02/2021,0
Nicolas Jarry,Benoit Paire,1165,29,25,31,7,"1,738",Round of 16,Cordoba,Clay,BO3,22/02/2021,0
Juan Manuel Cerundolo,Miomir Kecmanovic,335,41,19,21,132,"1,388",Round of 16,Cordoba,Clay,BO3,22/02/2021,1
Albert Ramos-Vinolas,Tomas Martin Etcheverry,47,234,33,21,"1,210",258,Round of 16,Cordoba,Clay,BO3,22/02/2021,1
Roberto Carballes Baena,Thiago Monteiro,96,74,27,26,786,929,Round of 16,Cordoba,Clay,BO3,22/02/2021,0
Federico Delbonis,Facundo Bagnis,84,130,30,30,851,546,Round of 16,Cordoba,Clay,BO3,22/02/2021,0
Federico Coria,Francisco Cerundolo,95,135,28,22,790,520,Round of 16,Cordoba,Clay,BO3,22/02/2021,1
Tomas Barrios Vera,Jozef Kovalik,265,128,23,28,221,548,Round of 16,Cordoba,Clay,BO3,22/02/2021,0
Albert Ramos-Vinolas,Juan Ignacio Londero,47,88,33,27,"1,210",832,Round of 32,Cordoba,Clay,BO3,22/02/2021,1
Dominik Koepfer,Federico Coria,71,95,26,28,966,790,Round of 32,Cordoba,Clay,BO3,22/02/2021,0
Joao Menezes,Thiago Monteiro,199,74,24,26,353,929,Round of 32,Cordoba,Clay,BO3,22/02/2021,0
Pedro Sousa,Federico Delbonis,108,84,32,30,704,851,Round of 32,Cordoba,Clay,BO3,22/02/2021,0
Nicolas Kicker,Facundo Bagnis,,130,,30,,546,Round of 32,Cordoba,Clay,BO3,22/02/2021,0
Joao Sousa,Roberto Carballes Baena,98,96,31,27,782,786,Round of 32,Cordoba,Clay,BO3,22/02/2021,0
Marco Cecchinato,Hugo Dellien,87,112,28,27,838,669,Round of 32,Cordoba,Clay,BO3,22/02/2021,1
Francisco Cerundolo,Gianluca Mager,135,99,22,26,520,770,Round of 32,Cordoba,Clay,BO3,22/02/2021,1
Thiago Seyboth Wild,Juan Manuel Cerundolo,119,335,20,19,605,132,Round of 32,Cordoba,Clay,BO3,22/02/2021,0
Andrej Martin,Tomas Martin Etcheverry,101,234,31,21,753,258,Round of 32,Cordoba,Clay,BO3,22/02/2021,0
Jaume Munar,Nicolas Jarry,104,1165,23,25,745,7,Round of 32,Cordoba,Clay,BO3,22/02/2021,0
Jozef Kovalik,Daniel Elahi Galan,128,116,28,24,548,619,Round of 32,Cordoba,Clay,BO3,22/02/2021,1
Facundo Bagnis,Pedro Sakamoto,130,294,30,27,546,178,3rd Round Qualifying,Cordoba,Clay,BO3,22/02/2021,1
Camilo Ugo Carabelli,Tomas Barrios Vera,354,265,21,23,124,221,3rd Round Qualifying,Cordoba,Clay,BO3,22/02/2021,0
Joao Menezes,Juan Manuel Cerundolo,199,335,24,19,353,132,3rd Round Qualifying,Cordoba,Clay,BO3,22/02/2021,0
Ernesto Escobedo,Tomas Martin Etcheverry,207,234,24,21,331,258,3rd Round Qualifying,Cordoba,Clay,BO3,22/02/2021,0
Facundo Bagnis,Andrea Collarini,130,211,30,29,546,316,2nd Round Qualifying,Cordoba,Clay,BO3,22/02/2021,1
Juan Manuel Cerundolo,Juan Pablo Varillas,335,168,19,25,132,414,2nd Round Qualifying,Cordoba,Clay,BO3,22/02/2021,1
Agustin Velotti,Tomas Barrios Vera,375,265,28,23,116,221,2nd Round Qualifying,Cordoba,Clay,BO3,22/02/2021,0
Felipe Meligeni Alves,Ernesto Escobedo,233,207,23,24,258,331,2nd Round Qualifying,Cordoba,Clay,BO3,22/02/2021,0
Tomas Martin Etcheverry,Christian Lindell,234,324,21,29,258,140,2nd Round Qualifying,Cordoba,Clay,BO3,22/02/2021,1
Joao Menezes,Carlos Gomez-Herrera,199,359,24,30,353,122,2nd Round Qualifying,Cordoba,Clay,BO3,22/02/2021,1
Pedro Sakamoto,Renzo Olivo,294,221,27,28,178,284,2nd Round Qualifying,Cordoba,Clay,BO3,22/02/2021,1
Camilo Ugo Carabelli,Facundo Diaz Acosta,354,396,21,20,124,106,2nd Round Qualifying,Cordoba,Clay,BO3,22/02/2021,1
Thiago Agustin Tirante,Facundo Bagnis,383,130,19,30,111,546,1st Round Qualifying,Cordoba,Clay,BO3,22/02/2021,0
Leonardo Mayer,Tomas Martin Etcheverry,142,234,33,21,504,258,1st Round Qualifying,Cordoba,Clay,BO3,22/02/2021,0
Facundo Diaz Acosta,Sumit Nagal,396,148,20,23,106,480,1st Round Qualifying,Cordoba,Clay,BO3,22/02/2021,1
Juan Pablo Varillas,Matias Franco Descotte,168,552,25,26,414,57,1st Round Qualifying,Cordoba,Clay,BO3,22/02/2021,1
Pedro Sakamoto,Emilio Gomez,294,172,27,29,178,402,1st Round Qualifying,Cordoba,Clay,BO3,22/02/2021,1
Carlos Gomez-Herrera,Guido Andreozzi,359,181,30,29,122,389,1st Round Qualifying,Cordoba,Clay,BO3,22/02/2021,1
Felipe Meligeni Alves,Joao Domingues,233,185,23,27,258,378,1st Round Qualifying,Cordoba,Clay,BO3,22/02/2021,1
Agustin Velotti,Mario Vilella Martinez,375,193,28,25,116,359,1st Round Qualifying,Cordoba,Clay,BO3,22/02/2021,1
Nicolas Alvarez,Tomas Barrios Vera,349,265,24,23,126,221,1st Round Qualifying,Cordoba,Clay,BO3,22/02/2021,0
Fermin Tenti,Juan Manuel Cerundolo,583,335,23,19,50,132,1st Round Qualifying,Cordoba,Clay,BO3,22/02/2021,0
Andrea Collarini,Hernan Casanova,211,369,29,27,316,117,1st Round Qualifying,Cordoba,Clay,BO3,22/02/2021,1
Ernesto Escobedo,Lukas Klein,207,286,24,22,331,186,1st Round Qualifying,Cordoba,Clay,BO3,22/02/2021,1
Christian Lindell,Facundo Mena,324,243,29,28,140,246,1st Round Qualifying,Cordoba,Clay,BO3,22/02/2021,1
Guido Ivan Justo,Joao Menezes,704,199,23,24,31,353,1st Round Qualifying,Cordoba,Clay,BO3,22/02/2021,0
Guilherme Clezar,Renzo Olivo,278,221,28,28,207,284,1st Round Qualifying,Cordoba,Clay,BO3,22/02/2021,0
Mariano Kestelboim,Camilo Ugo Carabelli,527,354,25,21,63,124,1st Round Qualifying,Cordoba,Clay,BO3,22/02/2021,0
David Goffin,Roberto Bautista Agut,15,13,30,32,"2,600","2,710",Finals,Montpellier,Hard,BO3,22/02/2021,1
Peter Gojowczyk,Roberto Bautista Agut,144,13,31,32,491,"2,710",Semi-Finals,Montpellier,Hard,BO3,22/02/2021,0
Egor Gerasimov,David Goffin,83,15,28,30,854,"2,600",Semi-Finals,Montpellier,Hard,BO3,22/02/2021,0
Ugo Humbert,Roberto Bautista Agut,32,13,22,32,"1,706","2,710",Quarter-Finals,Montpellier,Hard,BO3,22/02/2021,0
David Goffin,Lorenzo Sonego,15,36,30,25,"2,600","1,623",Quarter-Finals,Montpellier,Hard,BO3,22/02/2021,1
Egor Gerasimov,Alejandro Davidovich Fokina,83,56,28,21,854,"1,078",Quarter-Finals,Montpellier,Hard,BO3,22/02/2021,1
Dennis Novak,Peter Gojowczyk,102,144,27,31,752,491,Quarter-Finals,Montpellier,Hard,BO3,22/02/2021,0
Roberto Bautista Agut,Gregoire Barrere,13,113,32,27,"2,710",655,Round of 16,Montpellier,Hard,BO3,22/02/2021,1
David Goffin,Benjamin Bonzi,15,125,30,24,"2,600",573,Round of 16,Montpellier,Hard,BO3,22/02/2021,1
Dennis Novak,Dusan Lajovic,102,27,27,30,752,"1,875",Round of 16,Montpellier,Hard,BO3,22/02/2021,1
Alejandro Davidovich Fokina,Hubert Hurkacz,56,30,21,24,"1,078","1,735",Round of 16,Montpellier,Hard,BO3,22/02/2021,1
Ugo Humbert,Tallon Griekspoor,32,160,22,24,"1,706",440,Round of 16,Montpellier,Hard,BO3,22/02/2021,1
Lorenzo Sonego,Sebastian Korda,36,92,25,20,"1,623",810,Round of 16,Montpellier,Hard,BO3,22/02/2021,1
Aljaz Bedene,Egor Gerasimov,60,83,31,28,"1,065",854,Round of 16,Montpellier,Hard,BO3,22/02/2021,0
Jiri Vesely,Peter Gojowczyk,69,144,27,31,988,491,Round of 16,Montpellier,Hard,BO3,22/02/2021,0
Jannik Sinner,Aljaz Bedene,34,60,19,31,"1,694","1,065",Round of 32,Montpellier,Hard,BO3,22/02/2021,0
Ugo Humbert,Norbert Gombos,32,93,22,30,"1,706",797,Round of 32,Montpellier,Hard,BO3,22/02/2021,1
Lorenzo Sonego,Hugo Gaston,36,162,25,20,"1,623",425,Round of 32,Montpellier,Hard,BO3,22/02/2021,1
Peter Gojowczyk,Jan-Lennard Struff,144,37,31,30,491,"1,495",Round of 32,Montpellier,Hard,BO3,22/02/2021,1
Gregoire Barrere,Nikoloz Basilashvili,113,40,27,28,655,"1,405",Round of 32,Montpellier,Hard,BO3,22/02/2021,1
Lucas Pouille,Benjamin Bonzi,79,125,26,24,887,573,Round of 32,Montpellier,Hard,BO3,22/02/2021,0
Bernabe Zapata Miralles,Alejandro Davidovich Fokina,146,56,24,21,484,"1,078",Round of 32,Montpellier,Hard,BO3,22/02/2021,0
Andy Murray,Egor Gerasimov,121,83,33,28,595,854,Round of 32,Montpellier,Hard,BO3,22/02/2021,0
Marcos Giron,Tallon Griekspoor,78,160,27,24,889,440,Round of 32,Montpellier,Hard,BO3,22/02/2021,0
Jo-Wilfried Tsonga,Sebastian Korda,66,92,35,20,"1,015",810,Round of 32,Montpellier,Hard,BO3,22/02/2021,0
Gilles Simon,Dennis Novak,68,102,36,27,990,752,Round of 32,Montpellier,Hard,BO3,22/02/2021,0
Jiri Vesely,Mikael Ymer,69,91,27,22,988,820,Round of 32,Montpellier,Hard,BO3,22/02/2021,1
Botic van de Zandschulp,Gregoire Barrere,145,113,25,27,489,655,2nd Round Qualifying,Montpellier,Hard,BO3,22/02/2021,0
Tallon Griekspoor,Antoine Hoang,160,124,24,25,440,575,2nd Round Qualifying,Montpellier,Hard,BO3,22/02/2021,1
Kyrian Jacquet,Bernabe Zapata Miralles,522,146,19,24,64,484,2nd Round Qualifying,Montpellier,Hard,BO3,22/02/2021,0
Lukas Lacko,Peter Gojowczyk,196,144,33,31,358,491,2nd Round Qualifying,Montpellier,Hard,BO3,22/02/2021,0
Lukas Lacko,Kamil Majchrzak,196,110,33,25,358,690,1st Round Qualifying,Montpellier,Hard,BO3,22/02/2021,1
Quentin Halys,Gregoire Barrere,213,113,24,27,310,655,1st Round Qualifying,Montpellier,Hard,BO3,22/02/2021,0
Luca Van Assche,Antoine Hoang,1410T,124,16,25,3,575,1st Round Qualifying,Montpellier,Hard,BO3,22/02/2021,0
Damir Dzumhur,Kyrian Jacquet,122,522,28,19,588,64,1st Round Qualifying,Montpellier,Hard,BO3,22/02/2021,0
Arthur Rinderknech,Botic van de Zandschulp,132,145,25,25,536,489,1st Round Qualifying,Montpellier,Hard,BO3,22/02/2021,0
Carlos Alcaraz,Tallon Griekspoor,127,160,17,24,554,440,1st Round Qualifying,Montpellier,Hard,BO3,22/02/2021,0
Sergiy Stakhovsky,Bernabe Zapata Miralles,192,146,35,24,359,484,1st Round Qualifying,Montpellier,Hard,BO3,22/02/2021,0
Maxime Janvier,Peter Gojowczyk,214,144,24,31,308,491,1st Round Qualifying,Montpellier,Hard,BO3,22/02/2021,0
Marton Fucsovics,Andrey Rublev,59,8,29,23,"1,072","4,609",Finals,Rotterdam,Hard,BO3,01/03/2021,0
Stefanos Tsitsipas,Andrey Rublev,6,8,22,23,"6,595","4,609",Semi-Finals,Rotterdam,Hard,BO3,01/03/2021,0
Borna Coric,Marton Fucsovics,26,59,24,29,"1,890","1,072",Semi-Finals,Rotterdam,Hard,BO3,01/03/2021,0
Stefanos Tsitsipas,Karen Khachanov,6,21,22,24,"6,595","2,290",Quarter-Finals,Rotterdam,Hard,BO3,01/03/2021,1
Jeremy Chardy,Andrey Rublev,64,8,34,23,"1,020","4,609",Quarter-Finals,Rotterdam,Hard,BO3,01/03/2021,0
Kei Nishikori,Borna Coric,45,26,31,24,"1,355","1,890",Quarter-Finals,Rotterdam,Hard,BO3,01/03/2021,0
Tommy Paul,Marton Fucsovics,56,59,23,29,"1,080","1,072",Quarter-Finals,Rotterdam,Hard,BO3,01/03/2021,0
Hubert Hurkacz,Stefanos Tsitsipas,30,6,24,22,"1,735","6,595",Round of 16,Rotterdam,Hard,BO3,01/03/2021,0
Andy Murray,Andrey Rublev,123,8,33,23,595,"4,609",Round of 16,Rotterdam,Hard,BO3,01/03/2021,0
Jeremy Chardy,David Goffin,64,14,34,30,"1,020","2,760",Round of 16,Rotterdam,Hard,BO3,01/03/2021,1
Borna Coric,Dusan Lajovic,26,27,24,30,"1,890","1,875",Round of 16,Rotterdam,Hard,BO3,01/03/2021,1
Alejandro Davidovich Fokina,Marton Fucsovics,51,59,21,29,"1,111","1,072",Round of 16,Rotterdam,Hard,BO3,01/03/2021,0
Karen Khachanov,Cameron Norrie,21,65,24,25,"2,290","1,015",Round of 16,Rotterdam,Hard,BO3,01/03/2021,1
Kei Nishikori,Alex de Minaur,45,23,31,22,"1,355","2,155",Round of 16,Rotterdam,Hard,BO3,01/03/2021,1
Tommy Paul,Alexander Bublik,56,43,23,23,"1,080","1,385",Round of 16,Rotterdam,Hard,BO3,01/03/2021,1
Daniil Medvedev,Dusan Lajovic,3,27,25,30,"9,735","1,875",Round of 32,Rotterdam,Hard,BO3,01/03/2021,0
Egor Gerasimov,Stefanos Tsitsipas,76,6,28,22,936,"6,595",Round of 32,Rotterdam,Hard,BO3,01/03/2021,0
Alexander Bublik,Alexander Zverev,43,7,23,23,"1,385","5,615",Round of 32,Rotterdam,Hard,BO3,01/03/2021,1
Marcos Giron,Andrey Rublev,80,8,27,23,889,"4,609",Round of 32,Rotterdam,Hard,BO3,01/03/2021,0
Alejandro Davidovich Fokina,Roberto Bautista Agut,51,13,21,32,"1,111","2,770",Round of 32,Rotterdam,Hard,BO3,01/03/2021,1
David Goffin,Jan-Lennard Struff,14,37,30,30,"2,760","1,495",Round of 32,Rotterdam,Hard,BO3,01/03/2021,1
Felix Auger-Aliassime,Kei Nishikori,19,45,20,31,"2,516","1,355",Round of 32,Rotterdam,Hard,BO3,01/03/2021,0
Stan Wawrinka,Karen Khachanov,20,21,35,24,"2,365","2,290",Round of 32,Rotterdam,Hard,BO3,01/03/2021,0
Jeremy Chardy,Ugo Humbert,64,31,34,22,"1,020","1,726",Round of 32,Rotterdam,Hard,BO3,01/03/2021,1
Botic van de Zandschulp,Borna Coric,147,26,25,24,489,"1,890",Round of 32,Rotterdam,Hard,BO3,01/03/2021,0
Alex de Minaur,John Millman,23,39,22,31,"2,155","1,421",Round of 32,Rotterdam,Hard,BO3,01/03/2021,1
Reilly Opelka,Marton Fucsovics,38,59,23,29,"1,457","1,072",Round of 32,Rotterdam,Hard,BO3,01/03/2021,0
Hubert Hurkacz,Adrian Mannarino,30,36,24,32,"1,735","1,641",Round of 32,Rotterdam,Hard,BO3,01/03/2021,1
Robin Haase,Andy Murray,193,123,33,33,366,595,Round of 32,Rotterdam,Hard,BO3,01/03/2021,0
Nikoloz Basilashvili,Cameron Norrie,40,65,29,25,"1,405","1,015",Round of 32,Rotterdam,Hard,BO3,01/03/2021,0
Lorenzo Sonego,Tommy Paul,35,56,25,23,"1,648","1,080",Round of 32,Rotterdam,Hard,BO3,01/03/2021,0
Marton Fucsovics,Pierre-Hugues Herbert,59,93,29,29,"1,072",822,2nd Round Qualifying,Rotterdam,Hard,BO3,01/03/2021,1
Antoine Hoang,Jeremy Chardy,129,64,25,34,575,"1,020",2nd Round Qualifying,Rotterdam,Hard,BO3,01/03/2021,0
Andreas Seppi,Cameron Norrie,107,65,37,25,726,"1,015",2nd Round Qualifying,Rotterdam,Hard,BO3,01/03/2021,0
Marcos Giron,Norbert Gombos,80,95,27,30,889,797,2nd Round Qualifying,Rotterdam,Hard,BO3,01/03/2021,1
Marton Fucsovics,Arthur Rinderknech,59,136,29,25,"1,072",536,1st Round Qualifying,Rotterdam,Hard,BO3,01/03/2021,1
Jeremy Chardy,Tallon Griekspoor,64,152,34,24,"1,020",472,1st Round Qualifying,Rotterdam,Hard,BO3,01/03/2021,1
Cameron Norrie,Miliaan Niesten,65,1217,25,32,"1,015",5,1st Round Qualifying,Rotterdam,Hard,BO3,01/03/2021,1
Tim van Rijthoven,Marcos Giron,331,80,23,27,136,889,1st Round Qualifying,Rotterdam,Hard,BO3,01/03/2021,0
Pierre-Hugues Herbert,Vaclav Safranek,93,346,29,26,822,129,1st Round Qualifying,Rotterdam,Hard,BO3,01/03/2021,1
Norbert Gombos,Jelle Sels,95,336,30,25,797,133,1st Round Qualifying,Rotterdam,Hard,BO3,01/03/2021,1
Maxime Cressy,Andreas Seppi,153,107,23,37,469,726,1st Round Qualifying,Rotterdam,Hard,BO3,01/03/2021,0
Ryan Nijboer,Antoine Hoang,717,129,21,25,30,575,1st Round Qualifying,Rotterdam,Hard,BO3,01/03/2021,0
Francisco Cerundolo,Diego Schwartzman,137,9,22,28,532,"3,480",Finals,Buenos Aires,Clay,BO3,01/03/2021,0
Miomir Kecmanovic,Diego Schwartzman,42,9,21,28,"1,388","3,480",Semi-Finals,Buenos Aires,Clay,BO3,01/03/2021,0
Albert Ramos-Vinolas,Francisco Cerundolo,46,137,33,22,"1,315",532,Semi-Finals,Buenos Aires,Clay,BO3,01/03/2021,0
Jaume Munar,Diego Schwartzman,106,9,23,28,745,"3,480",Quarter-Finals,Buenos Aires,Clay,BO3,01/03/2021,0
Miomir Kecmanovic,Laslo Djere,42,60,21,25,"1,388","1,068",Quarter-Finals,Buenos Aires,Clay,BO3,01/03/2021,1
Sumit Nagal,Albert Ramos-Vinolas,150,46,23,33,480,"1,315",Quarter-Finals,Buenos Aires,Clay,BO3,01/03/2021,0
Pablo Andujar,Francisco Cerundolo,57,137,35,22,"1,079",532,Quarter-Finals,Buenos Aires,Clay,BO3,01/03/2021,0
Diego Schwartzman,Lukas Klein,9,291,28,22,"3,480",186,Round of 16,Buenos Aires,Clay,BO3,01/03/2021,1
Sumit Nagal,Cristian Garin,150,22,23,24,480,"2,180",Round of 16,Buenos Aires,Clay,BO3,01/03/2021,1
Benoit Paire,Francisco Cerundolo,29,137,31,22,"1,738",532,Round of 16,Buenos Aires,Clay,BO3,01/03/2021,0
Miomir Kecmanovic,Thiago Monteiro,42,74,21,26,"1,388",954,Round of 16,Buenos Aires,Clay,BO3,01/03/2021,1
Albert Ramos-Vinolas,Dominik Koepfer,46,71,33,26,"1,315",966,Round of 16,Buenos Aires,Clay,BO3,01/03/2021,1
Pablo Andujar,Gianluca Mager,57,101,35,26,"1,079",770,Round of 16,Buenos Aires,Clay,BO3,01/03/2021,1
Federico Delbonis,Laslo Djere,86,60,30,25,851,"1,068",Round of 16,Buenos Aires,Clay,BO3,01/03/2021,0
Jaume Munar,Frances Tiafoe,106,62,23,23,745,"1,040",Round of 16,Buenos Aires,Clay,BO3,01/03/2021,1
Albert Ramos-Vinolas,Holger Rune,46,406,33,17,"1,315",102,Round of 32,Buenos Aires,Clay,BO3,01/03/2021,1
Pablo Andujar,Juan Ignacio Londero,57,90,35,27,"1,079",832,Round of 32,Buenos Aires,Clay,BO3,01/03/2021,1
Laslo Djere,Marco Cecchinato,60,89,25,28,"1,068",838,Round of 32,Buenos Aires,Clay,BO3,01/03/2021,1
Frances Tiafoe,Facundo Bagnis,62,115,23,31,"1,040",633,Round of 32,Buenos Aires,Clay,BO3,01/03/2021,1
Francisco Cerundolo,Federico Coria,137,85,22,28,532,870,Round of 32,Buenos Aires,Clay,BO3,01/03/2021,1
Federico Delbonis,Juan Manuel Cerundolo,86,181,30,19,851,392,Round of 32,Buenos Aires,Clay,BO3,01/03/2021,1
Andrej Martin,Lukas Klein,103,291,31,22,753,186,Round of 32,Buenos Aires,Clay,BO3,01/03/2021,0
Dominik Koepfer,Thiago Agustin Tirante,71,386,26,19,966,111,Round of 32,Buenos Aires,Clay,BO3,01/03/2021,1
Gianluca Mager,Salvatore Caruso,101,79,26,28,770,898,Round of 32,Buenos Aires,Clay,BO3,01/03/2021,1
Thiago Monteiro,Roberto Carballes Baena,74,97,26,27,954,786,Round of 32,Buenos Aires,Clay,BO3,01/03/2021,1
Jaume Munar,Facundo Diaz Acosta,106,397,23,20,745,106,Round of 32,Buenos Aires,Clay,BO3,01/03/2021,1
Joao Sousa,Sumit Nagal,100,150,31,23,782,480,Round of 32,Buenos Aires,Clay,BO3,01/03/2021,0
Daniel Altmaier,Jaume Munar,141,106,22,23,516,745,3rd Round Qualifying,Buenos Aires,Clay,BO3,01/03/2021,0
Agustin Velotti,Francisco Cerundolo,365,137,28,22,119,532,3rd Round Qualifying,Buenos Aires,Clay,BO3,01/03/2021,0
Lukas Klein,Ernesto Escobedo,291,209,22,24,186,337,3rd Round Qualifying,Buenos Aires,Clay,BO3,01/03/2021,1
Nicolas Kicker,Sumit Nagal,,150,,23,,480,3rd Round Qualifying,Buenos Aires,Clay,BO3,01/03/2021,0
Sebastian Baez,Jaume Munar,257,106,20,23,229,745,2nd Round Qualifying,Buenos Aires,Clay,BO3,01/03/2021,0
Lukas Klein,Thiago Seyboth Wild,291,122,22,20,186,605,2nd Round Qualifying,Buenos Aires,Clay,BO3,01/03/2021,1
Jozef Kovalik,Nicolas Kicker,128,,28,,583,,2nd Round Qualifying,Buenos Aires,Clay,BO3,01/03/2021,0
Guilherme Clezar,Francisco Cerundolo,279,137,28,22,207,532,2nd Round Qualifying,Buenos Aires,Clay,BO3,01/03/2021,0
Juan Pablo Varillas,Daniel Altmaier,169,141,25,22,414,516,2nd Round Qualifying,Buenos Aires,Clay,BO3,01/03/2021,0
Joao Domingues,Ernesto Escobedo,188,209,27,24,378,337,2nd Round Qualifying,Buenos Aires,Clay,BO3,01/03/2021,0
Mario Vilella Martinez,Sumit Nagal,196,150,25,23,359,480,2nd Round Qualifying,Buenos Aires,Clay,BO3,01/03/2021,0
Pedro Sakamoto,Agustin Velotti,297,365,27,28,181,119,2nd Round Qualifying,Buenos Aires,Clay,BO3,01/03/2021,0
Nicolas Alvarez,Jaume Munar,352,106,24,23,126,745,1st Round Qualifying,Buenos Aires,Clay,BO3,01/03/2021,0
Hugo Dellien,Pedro Sakamoto,113,297,27,27,669,181,1st Round Qualifying,Buenos Aires,Clay,BO3,01/03/2021,0
Christian Lindell,Thiago Seyboth Wild,324,122,29,20,142,605,1st Round Qualifying,Buenos Aires,Clay,BO3,01/03/2021,0
Jozef Kovalik,Emilio Gomez,128,174,28,29,583,402,1st Round Qualifying,Buenos Aires,Clay,BO3,01/03/2021,1
Joao Menezes,Francisco Cerundolo,201,137,24,22,353,532,1st Round Qualifying,Buenos Aires,Clay,BO3,01/03/2021,0
Daniel Altmaier,Orlando Luz,141,317,22,23,516,152,1st Round Qualifying,Buenos Aires,Clay,BO3,01/03/2021,1
Leonardo Mayer,Ernesto Escobedo,144,209,33,24,504,337,1st Round Qualifying,Buenos Aires,Clay,BO3,01/03/2021,0
Alejandro Tabilo,Sebastian Baez,165,257,23,20,419,229,1st Round Qualifying,Buenos Aires,Clay,BO3,01/03/2021,0
Guilherme Clezar,Hernan Casanova,279,372,28,27,207,117,1st Round Qualifying,Buenos Aires,Clay,BO3,01/03/2021,1
Tomas Martin Etcheverry,Joao Domingues,222,188,21,27,286,378,1st Round Qualifying,Buenos Aires,Clay,BO3,01/03/2021,0
