Player 1,Player 2,Player 1 Ranking,Player 2 Ranking,Player 1 Age,Player 2 Age,Player 1 Points,Player 2 Points,Round,Tournament,Surface,Match Length,Date,Probability Player 1 Wins
Hubert Hurkacz,Alejandro Davidovich Fokina,33,99,23,21,"1,353",627,Round of 64,US Open,Hard,BO5,31/08/2020,0
Vasek Pospisil,Milos Raonic,94,18,30,29,642,"1,950",Round of 64,US Open,Hard,BO5,31/08/2020,1
Filip Krajinovic,Marcos Giron,26,96,28,27,"1,503",639,Round of 64,US Open,Hard,BO5,31/08/2020,1
Borna Coric,Juan Ignacio Londero,32,62,23,27,"1,355",832,Round of 64,US Open,Hard,BO5,31/08/2020,1
Jan-Lennard Struff,Michael Mmoh,29,186,30,22,"1,405",281,Round of 64,US Open,Hard,BO5,31/08/2020,1
Casper Ruud,Emil Ruusuvuori,37,92,21,21,"1,279",648,Round of 64,US Open,Hard,BO5,31/08/2020,1
Marin Cilic,Norbert Gombos,38,104,31,30,"1,225",550,Round of 64,US Open,Hard,BO5,31/08/2020,1
Adrian Mannarino,Jack Sock,39,389,32,27,"1,191",95,Round of 64,US Open,Hard,BO5,31/08/2020,1
Ricardas Berankis,Steve Johnson,65,64,30,30,809,825,Round of 64,US Open,Hard,BO5,31/08/2020,1
Salvatore Caruso,Ernesto Escobedo,100,185,27,24,623,284,Round of 64,US Open,Hard,BO5,31/08/2020,1
Federico Coria,Cameron Norrie,103,76,28,25,569,727,Round of 64,US Open,Hard,BO5,31/08/2020,0
Egor Gerasimov,Jordan Thompson,72,63,27,26,744,829,Round of 64,US Open,Hard,BO5,31/08/2020,0
John Millman,Frances Tiafoe,43,82,31,22,"1,096",700,Round of 64,US Open,Hard,BO5,31/08/2020,0
Roberto Carballes Baena,J.J. Wolf,101,138,27,21,614,402,Round of 64,US Open,Hard,BO5,31/08/2020,0
Damir Dzumhur,Novak Djokovic,109,1,28,33,524,"10,860",Round of 128,US Open,Hard,BO5,31/08/2020,0
Jaume Munar,Dominic Thiem,105,3,23,26,548,"7,135",Round of 128,US Open,Hard,BO5,31/08/2020,0
Daniil Medvedev,Federico Delbonis,5,79,24,29,"5,890",711,Round of 128,US Open,Hard,BO5,31/08/2020,1
Stefanos Tsitsipas,Albert Ramos-Vinolas,6,41,22,32,"5,095","1,130",Round of 128,US Open,Hard,BO5,31/08/2020,1
Alexander Zverev,Kevin Anderson,7,117,23,34,"3,630",490,Round of 128,US Open,Hard,BO5,31/08/2020,1
Go Soeda,Matteo Berrettini,119,8,35,24,480,"2,940",Round of 128,US Open,Hard,BO5,31/08/2020,0
David Goffin,Reilly Opelka,10,35,29,23,"2,555","1,312",Round of 128,US Open,Hard,BO5,31/08/2020,1
Tennys Sandgren,Roberto Bautista Agut,48,11,29,32,"1,013","2,540",Round of 128,US Open,Hard,BO5,31/08/2020,0
Cameron Norrie,Diego Schwartzman,76,13,25,28,727,"2,265",Round of 128,US Open,Hard,BO5,31/08/2020,1
Jeremy Chardy,Andrey Rublev,60,14,33,22,860,"2,234",Round of 128,US Open,Hard,BO5,31/08/2020,0
Karen Khachanov,Jannik Sinner,16,74,24,19,"2,120",733,Round of 128,US Open,Hard,BO5,31/08/2020,1
Denis Shapovalov,Sebastian Korda,17,205,21,20,"2,075",252,Round of 128,US Open,Hard,BO5,31/08/2020,1
Cristian Garin,Ulises Blanch,19,244,24,22,"1,900",207,Round of 128,US Open,Hard,BO5,31/08/2020,1
Grigor Dimitrov,Tommy Paul,20,58,29,23,"1,885",894,Round of 128,US Open,Hard,BO5,31/08/2020,1
Thiago Monteiro,Felix Auger-Aliassime,83,21,26,20,700,"1,806",Round of 128,US Open,Hard,BO5,31/08/2020,0
John Isner,Steve Johnson,22,64,35,30,"1,805",825,Round of 128,US Open,Hard,BO5,31/08/2020,0
Dusan Lajovic,Egor Gerasimov,24,72,30,27,"1,695",744,Round of 128,US Open,Hard,BO5,31/08/2020,0
Dominik Koepfer,Taylor Fritz,91,25,26,22,652,"1,545",Round of 128,US Open,Hard,BO5,31/08/2020,0
Pablo Carreno Busta,Yasutaka Uchiyama,27,86,29,28,"1,500",685,Round of 128,US Open,Hard,BO5,31/08/2020,1
Alex de Minaur,Andrej Martin,28,98,21,30,"1,485",638,Round of 128,US Open,Hard,BO5,31/08/2020,1
John Millman,Nikoloz Basilashvili,43,30,31,28,"1,096","1,395",Round of 128,US Open,Hard,BO5,31/08/2020,1
Thiago Seyboth Wild,Daniel Evans,113,31,20,30,507,"1,384",Round of 128,US Open,Hard,BO5,31/08/2020,0
Hubert Hurkacz,Peter Gojowczyk,33,127,23,31,"1,353",444,Round of 128,US Open,Hard,BO5,31/08/2020,1
Milos Raonic,Leonardo Mayer,18,120,29,33,"1,950",464,Round of 128,US Open,Hard,BO5,31/08/2020,1
Mikael Ymer,Filip Krajinovic,71,26,21,28,759,"1,503",Round of 128,US Open,Hard,BO5,31/08/2020,0
Borna Coric,Pablo Andujar,32,56,23,34,"1,355",942,Round of 128,US Open,Hard,BO5,31/08/2020,1
Jan-Lennard Struff,Pedro Martinez,29,106,30,23,"1,405",546,Round of 128,US Open,Hard,BO5,31/08/2020,1
J.J. Wolf,Guido Pella,138,36,21,30,402,"1,310",Round of 128,US Open,Hard,BO5,31/08/2020,1
Casper Ruud,Mackenzie McDonald,37,243,21,25,"1,279",207,Round of 128,US Open,Hard,BO5,31/08/2020,1
Marin Cilic,Denis Kudla,38,111,31,28,"1,225",521,Round of 128,US Open,Hard,BO5,31/08/2020,1
Lorenzo Sonego,Adrian Mannarino,46,39,25,32,"1,030","1,191",Round of 128,US Open,Hard,BO5,31/08/2020,0
Taro Daniel,Gregoire Barrere,112,93,27,26,511,647,Round of 128,US Open,Hard,BO5,31/08/2020,0
Ricardas Berankis,Federico Gaio,65,132,30,28,809,423,Round of 128,US Open,Hard,BO5,31/08/2020,1
Feliciano Lopez,Roberto Carballes Baena,57,101,38,27,908,614,Round of 128,US Open,Hard,BO5,31/08/2020,0
Salvatore Caruso,James Duckworth,100,84,27,28,623,697,Round of 128,US Open,Hard,BO5,31/08/2020,1
Jason Jung,Federico Coria,122,103,31,28,462,569,Round of 128,US Open,Hard,BO5,31/08/2020,0
Maxime Cressy,Jozef Kovalik,168,123,23,27,320,452,Round of 128,US Open,Hard,BO5,31/08/2020,1
